year,state,cause,sum(deaths)
2011,California,Alzheimer's disease,11555
2003,Louisiana,Heart disease,11540
2013,California,Unintentional injuries,11538
2016,Wisconsin,Heart disease,11526
1999,Washington,Heart disease,11515
2016,Wisconsin,Cancer,11498
2015,Maryland,Heart disease,11481
2001,Louisiana,Heart disease,11474
2015,Wisconsin,Heart disease,11473
2015,Arizona,Heart disease,11458
2014,Arizona,Cancer,11455
2006,Wisconsin,Heart disease,11451
2015,Florida,Stroke,11433
2013,Wisconsin,Cancer,11425
2015,Wisconsin,Cancer,11423
2014,Wisconsin,Cancer,11393
2016,Maryland,Heart disease,11390
2013,Florida,CLRD,11379
2006,California,Unintentional injuries,11375
2000,Washington,Heart disease,11370
2013,Wisconsin,Heart disease,11362
2013,Arizona,Cancer,11347
2004,Maryland,Heart disease,11346
2003,Kentucky,Heart disease,11319
2007,Maryland,Heart disease,11314
2000,Oklahoma,Heart disease,11297
2012,Wisconsin,Heart disease,11282
2001,Washington,Heart disease,11281
2010,Wisconsin,Cancer,11279
2008,Wisconsin,Heart disease,11275
2006,Maryland,Heart disease,11268
2011,Wisconsin,Heart disease,11266
1999,Oklahoma,Heart disease,11263
2012,Wisconsin,Cancer,11252
2013,Maryland,Heart disease,11244
2002,Oklahoma,Heart disease,11230
2014,Wisconsin,Heart disease,11229
2009,Maryland,Heart disease,11210
2008,Wisconsin,Cancer,11185
2003,Washington,Heart disease,11185
2002,Louisiana,Heart disease,11185
2014,Florida,CLRD,11178
2016,Washington,Heart disease,11161
2008,Maryland,Heart disease,11157
2002,Washington,Heart disease,11141
2014,Maryland,Heart disease,11135
2005,California,Unintentional injuries,11129
2010,Wisconsin,Heart disease,11115
2007,Wisconsin,Heart disease,11110
2012,Arizona,Cancer,11085
2003,Washington,Cancer,11064
2003,Oklahoma,Heart disease,11061
2006,Washington,Cancer,11055
2005,Washington,Cancer,11048
2007,Washington,Heart disease,11037
2015,Washington,Heart disease,11025
2012,Maryland,Heart disease,11023
2005,Louisiana,Heart disease,11008
2004,Washington,Cancer,10989
2005,Washington,Heart disease,10985
2005,Arizona,Heart disease,10966
2007,Wisconsin,Cancer,10963
2005,Wisconsin,Cancer,10943
2016,Louisiana,Heart disease,10943
2006,Wisconsin,Cancer,10925
2008,Washington,Heart disease,10916
2010,Maryland,Heart disease,10915
2016,Maryland,Cancer,10911
2012,California,Unintentional injuries,10906
2003,Arizona,Heart disease,10887
2009,Wisconsin,Cancer,10866
2004,Wisconsin,Cancer,10861
2009,California,Unintentional injuries,10860
2002,Washington,Cancer,10858
2010,California,Alzheimer's disease,10856
2004,Louisiana,Heart disease,10852
2002,Arizona,Heart disease,10852
2001,Oklahoma,Heart disease,10840
2009,Wisconsin,Heart disease,10834
2002,Wisconsin,Cancer,10828
2011,California,Unintentional injuries,10824
2014,Arizona,Heart disease,10805
2001,Washington,Cancer,10802
1999,Arizona,Heart disease,10800
2005,Kentucky,Heart disease,10782
2001,Wisconsin,Cancer,10777
2008,California,Unintentional injuries,10761
2014,Maryland,Cancer,10759
2013,Arizona,Heart disease,10755
1999,Wisconsin,Cancer,10755
2014,Washington,Heart disease,10710
2011,Arizona,Cancer,10690
2012,Arizona,Heart disease,10689
2000,Texas,Stroke,10684
2010,Arizona,Cancer,10678
2016,Texas,Stroke,10673
2000,Washington,Cancer,10668
2015,Louisiana,Heart disease,10665
2011,Arizona,Heart disease,10662
1999,Washington,Cancer,10653
2003,Wisconsin,Cancer,10648
2014,Louisiana,Heart disease,10647
2004,Washington,Heart disease,10644
2000,Wisconsin,Cancer,10638
2004,California,Unintentional injuries,10633
2001,Texas,Stroke,10612
2013,Maryland,Cancer,10609
2006,Arizona,Heart disease,10607
2006,Washington,Heart disease,10604
2010,Washington,Heart disease,10602
2001,Arizona,Heart disease,10588
2012,Florida,CLRD,10585
2000,Arizona,Heart disease,10584
2015,Florida,Unintentional injuries,10578
2015,Maryland,Cancer,10568
2009,Washington,Heart disease,10561
1999,Florida,Stroke,10560
2011,Maryland,Heart disease,10557
2002,Texas,Stroke,10548
2004,Arizona,Heart disease,10539
2016,Texas,Unintentional injuries,10536
2000,Florida,Stroke,10532
2012,Maryland,Cancer,10525
2013,Washington,Heart disease,10524
2016,Kentucky,Heart disease,10519
2015,Texas,Stroke,10485
2003,California,Unintentional injuries,10471
2004,Kentucky,Heart disease,10465
2011,Washington,Heart disease,10439
2010,California,Unintentional injuries,10435
2016,Alabama,Cancer,10419
2001,Florida,Stroke,10414
1999,Texas,Stroke,10414
2009,Maryland,Cancer,10412
2002,Maryland,Cancer,10395
2008,Arizona,Heart disease,10385
2005,Maryland,Cancer,10371
2016,Kentucky,Cancer,10363
2008,Maryland,Cancer,10360
2012,Washington,Heart disease,10360
2016,South Carolina,Cancer,10356
2015,Alabama,Cancer,10354
2006,Kentucky,Heart disease,10353
2006,Maryland,Cancer,10350
2008,Louisiana,Heart disease,10347
2013,Louisiana,Heart disease,10346
2010,Florida,CLRD,10337
2004,Oklahoma,Heart disease,10335
2013,Alabama,Cancer,10328
2001,Maryland,Cancer,10322
2015,Kentucky,Cancer,10312
2015,Oklahoma,Heart disease,10310
2003,Texas,Stroke,10303
2007,Arizona,Heart disease,10302
2003,Maryland,Cancer,10292
2000,Maryland,Cancer,10290
2009,Alabama,Cancer,10289
2014,Alabama,Cancer,10286
2010,Louisiana,Heart disease,10282
2011,Florida,CLRD,10279
2012,Alabama,Cancer,10276
2009,Arizona,Heart disease,10273
2009,Arizona,Cancer,10271
2010,Maryland,Cancer,10269
2002,Florida,Stroke,10269
2014,Kentucky,Cancer,10263
2011,Maryland,Cancer,10249
2011,Alabama,Cancer,10233
2015,Texas,CLRD,10231
2016,Oklahoma,Heart disease,10209
2008,Florida,CLRD,10198
2010,Alabama,Cancer,10196
2016,South Carolina,Heart disease,10195
2009,Florida,CLRD,10182
2008,Alabama,Cancer,10182
2007,Maryland,Cancer,10179
2009,Louisiana,Heart disease,10169
2004,Maryland,Cancer,10168
1999,Maryland,Cancer,10143
2007,Arizona,Cancer,10134
2002,California,Unintentional injuries,10107
2016,Texas,CLRD,10107
2008,California,Alzheimer's disease,10098
2015,South Carolina,Heart disease,10092
2013,Kentucky,Cancer,10085
2008,Arizona,Cancer,10081
2015,Kentucky,Heart disease,10077
2012,Louisiana,Heart disease,10074
2008,Kentucky,Heart disease,10061
2005,Oklahoma,Heart disease,10043
2006,Louisiana,Heart disease,10026
2007,Alabama,Cancer,10025
2012,Kentucky,Heart disease,10024
2014,Kentucky,Heart disease,10013
2012,Kentucky,Cancer,10012
1999,South Carolina,Heart disease,9981
2015,Texas,Unintentional injuries,9976
2013,Kentucky,Heart disease,9971
2014,South Carolina,Heart disease,9964
2010,Arizona,Heart disease,9954
2015,South Carolina,Cancer,9950
2007,Louisiana,Heart disease,9947
2014,South Carolina,Cancer,9930
2010,Kentucky,Cancer,9930
2015,Minnesota,Cancer,9925
2006,Arizona,Cancer,9919
2007,Kentucky,Heart disease,9916
2005,Alabama,Cancer,9913
2009,California,Alzheimer's disease,9905
2011,Kentucky,Heart disease,9905
2006,Alabama,Cancer,9899
2003,Florida,Stroke,9899
2014,Texas,Stroke,9898
2000,South Carolina,Heart disease,9893
2014,Oklahoma,Heart disease,9868
2016,Minnesota,Cancer,9857
2004,Texas,Stroke,9853
2005,Arizona,Cancer,9820
2003,Alabama,Cancer,9812
2000,Alabama,Cancer,9807
2001,Alabama,Cancer,9801
2013,Texas,CLRD,9800
2006,Oklahoma,Heart disease,9798
2007,Texas,Stroke,9796
2011,Louisiana,Heart disease,9781
2014,Florida,Stroke,9770
2008,Oklahoma,Heart disease,9767
2004,Alabama,Cancer,9756
2013,South Carolina,Cancer,9745
2011,Kentucky,Cancer,9733
2012,South Carolina,Cancer,9728
2009,Kentucky,Heart disease,9728
2014,Texas,Unintentional injuries,9723
2013,Oklahoma,Heart disease,9721
2004,Florida,Stroke,9715
2002,Alabama,Cancer,9698
2007,Kentucky,Cancer,9692
2014,Texas,CLRD,9668
2010,Kentucky,Heart disease,9662
2002,South Carolina,Heart disease,9659
2014,Minnesota,Cancer,9649
2013,South Carolina,Heart disease,9648
2009,Kentucky,Cancer,9634
2008,Texas,Stroke,9629
2003,Arizona,Cancer,9627
2004,Arizona,Cancer,9618
2010,Minnesota,Cancer,9612
2007,Oklahoma,Heart disease,9602
2013,Minnesota,Cancer,9601
2008,Kentucky,Cancer,9589
2009,Minnesota,Cancer,9580
2011,South Carolina,Cancer,9543
2003,Louisiana,Cancer,9533
1999,Minnesota,Heart disease,9533
2012,Texas,CLRD,9524
2001,Louisiana,Cancer,9517
2003,South Carolina,Heart disease,9510
1999,Alabama,Cancer,9506
2005,Kentucky,Cancer,9505
2011,Minnesota,Cancer,9489
2005,Florida,CLRD,9482
2001,South Carolina,Heart disease,9471
2014,Louisiana,Cancer,9455
2008,Minnesota,Cancer,9446
2002,Louisiana,Cancer,9441
2002,Kentucky,Cancer,9438
2004,Louisiana,Cancer,9434
2014,Florida,Unintentional injuries,9432
2010,Oklahoma,Heart disease,9426
2012,Minnesota,Cancer,9424
2013,Louisiana,Cancer,9419
1999,Louisiana,Cancer,9412
2011,Texas,Unintentional injuries,9410
2000,Louisiana,Cancer,9400
2011,Oklahoma,Heart disease,9399
2015,Louisiana,Cancer,9397
2013,Texas,Unintentional injuries,9395
2006,Kentucky,Cancer,9394
2007,Texas,Unintentional injuries,9392
2003,Kentucky,Cancer,9378
2005,Texas,Stroke,9366
2006,Texas,Stroke,9366
2012,South Carolina,Heart disease,9364
2005,Florida,Stroke,9361
2002,Arizona,Cancer,9359
2005,South Carolina,Heart disease,9359
2001,Kentucky,Cancer,9358
2007,Florida,CLRD,9357
2010,South Carolina,Cancer,9356
2009,Texas,Unintentional injuries,9349
1999,Mississippi,Heart disease,9336
2012,Texas,Unintentional injuries,9313
2012,Louisiana,Cancer,9308
2012,Texas,Stroke,9305
2010,South Carolina,Heart disease,9295
2011,South Carolina,Heart disease,9295
2013,Texas,Stroke,9283
2000,Mississippi,Heart disease,9256
2005,Louisiana,Cancer,9249
2011,Louisiana,Cancer,9233
2000,Minnesota,Cancer,9215
2010,Texas,Unintentional injuries,9212
2002,Minnesota,Cancer,9210
2000,Kentucky,Cancer,9207
2010,Louisiana,Cancer,9203
2009,Oklahoma,Heart disease,9202
2008,South Carolina,Cancer,9199
2012,Oklahoma,Heart disease,9198
1999,California,Unintentional injuries,9198
2008,Louisiana,Cancer,9197
2008,Texas,Unintentional injuries,9189
2003,Minnesota,Cancer,9183
2004,South Carolina,Heart disease,9182
2010,Texas,Stroke,9180
2007,Minnesota,Cancer,9176
2004,Kentucky,Cancer,9159
2016,Louisiana,Cancer,9149
2001,Arizona,Cancer,9143
2006,Texas,Unintentional injuries,9140
2009,Texas,Stroke,9137
2016,Texas,Alzheimer's disease,9135
1999,Florida,CLRD,9131
1999,Connecticut,Heart disease,9127
2016,California,Diabetes,9124
2009,South Carolina,Cancer,9123
2007,Florida,Unintentional injuries,9113
2009,Louisiana,Cancer,9098
2011,Texas,CLRD,9097
2004,Minnesota,Cancer,9093
2003,Florida,CLRD,9087
2006,Minnesota,Cancer,9079
2000,Arizona,Cancer,9073
2009,South Carolina,Heart disease,9068
2011,Texas,Stroke,9065
2002,Florida,CLRD,9062
2002,Mississippi,Heart disease,9061
2001,Mississippi,Heart disease,9050
2006,South Carolina,Heart disease,9030
1999,Arizona,Cancer,9006
2008,South Carolina,Heart disease,8996
2000,Connecticut,Heart disease,8993
2007,South Carolina,Heart disease,8992
2004,Florida,CLRD,8971
2001,Minnesota,Cancer,8967
2001,Florida,CLRD,8954
2008,Florida,Unintentional injuries,8939
1999,Kentucky,Cancer,8925
2006,Florida,Stroke,8925
2010,Texas,CLRD,8921
2000,Pennsylvania,Stroke,8919
2006,Florida,Unintentional injuries,8917
2006,Florida,CLRD,8912
2015,Texas,Alzheimer's disease,8903
2011,Florida,Unintentional injuries,8901
1999,Minnesota,Cancer,8892
2000,Minnesota,Heart disease,8885
2010,Florida,Unintentional injuries,8875
2008,Texas,CLRD,8874
2005,Florida,Unintentional injuries,8868
2007,South Carolina,Cancer,8867
2006,Louisiana,Cancer,8853
2006,South Carolina,Cancer,8853
2015,California,Diabetes,8845
2005,Minnesota,Cancer,8823
2002,Connecticut,Heart disease,8815
2007,Florida,Stroke,8781
2012,Florida,Unintentional injuries,8770
2001,Minnesota,Heart disease,8760
2009,Florida,Unintentional injuries,8746
2007,Louisiana,Cancer,8736
2013,Florida,Unintentional injuries,8736
1999,Iowa,Heart disease,8699
2013,Florida,Stroke,8698
2003,Mississippi,Heart disease,8683
2005,South Carolina,Cancer,8652
2009,Texas,CLRD,8649
2000,Florida,CLRD,8645
2005,Mississippi,Heart disease,8637
2001,Pennsylvania,Stroke,8619
2002,Minnesota,Heart disease,8602
1999,Pennsylvania,Stroke,8600
2005,Texas,Unintentional injuries,8598
2008,Florida,Stroke,8589
2001,Connecticut,Heart disease,8582
2002,Pennsylvania,Stroke,8579
2000,California,Unintentional injuries,8577
2000,Iowa,Heart disease,8559
2003,South Carolina,Cancer,8512
2007,California,Alzheimer's disease,8497
2012,Florida,Stroke,8456
2010,Florida,Stroke,8432
2003,Texas,Unintentional injuries,8425
2011,Florida,Stroke,8411
2016,Pennsylvania,Unintentional injuries,8410
2009,Florida,Stroke,8395
2003,Connecticut,Heart disease,8389
2004,South Carolina,Cancer,8348
2002,South Carolina,Cancer,8333
2002,Arkansas,Heart disease,8330
2000,California,Influenza and pneumonia,8324
2004,Texas,Unintentional injuries,8323
1999,Arkansas,Heart disease,8315
2004,Mississippi,Heart disease,8282
2015,Oklahoma,Cancer,8280
2000,Arkansas,Heart disease,8278
2001,South Carolina,Cancer,8272
2001,Arkansas,Heart disease,8263
2003,Pennsylvania,Stroke,8261
2000,South Carolina,Cancer,8250
2001,Iowa,Heart disease,8250
2014,California,Diabetes,8249
2002,Texas,Unintentional injuries,8232
2004,Florida,Unintentional injuries,8229
2003,California,Influenza and pneumonia,8185
2002,Iowa,Heart disease,8181
2006,California,Alzheimer's disease,8146
2003,Minnesota,Heart disease,8144
2001,California,Unintentional injuries,8132
2001,California,Influenza and pneumonia,8129
2002,California,Influenza and pneumonia,8128
1999,New York,Stroke,8124
2016,Oklahoma,Cancer,8115
2007,Texas,CLRD,8107
2006,Mississippi,Heart disease,8097
2015,Oregon,Cancer,8093
2016,Arkansas,Heart disease,8090
1999,South Carolina,Cancer,8089
2016,Oregon,Cancer,8078
2013,California,Diabetes,8057
2012,Oklahoma,Cancer,8040
2013,Oklahoma,Cancer,8039
2007,Mississippi,Heart disease,8037
2000,New York,Stroke,8006
2016,Ohio,Unintentional injuries,7999
2008,Mississippi,Heart disease,7997
2011,Oklahoma,Cancer,7997
2005,Texas,CLRD,7988
2015,Mississippi,Heart disease,7969
2015,Arkansas,Heart disease,7938
2014,Oklahoma,Cancer,7934
2016,Colorado,Cancer,7928
2005,Minnesota,Heart disease,7926
2001,Texas,Unintentional injuries,7920
2003,Florida,Unintentional injuries,7919
2012,California,Diabetes,7895
2004,Minnesota,Heart disease,7891
2004,Connecticut,Heart disease,7868
2016,Mississippi,Heart disease,7865
2014,Oregon,Cancer,7863
2015,Minnesota,Heart disease,7844
2003,Iowa,Heart disease,7840
2012,Oregon,Cancer,7832
2010,Oklahoma,Cancer,7831
2016,Minnesota,Heart disease,7825
2011,Oregon,Cancer,7802
2013,Oregon,Cancer,7799
2004,Pennsylvania,Stroke,7792
2003,Arkansas,Heart disease,7786
2001,Texas,CLRD,7739
2007,Oklahoma,Cancer,7727
2002,Texas,CLRD,7720
2013,Mississippi,Heart disease,7715
2013,Minnesota,Heart disease,7714
1999,Illinois,Stroke,7714
2001,New York,Stroke,7706
2005,California,Alzheimer's disease,7706
2005,California,Diabetes,7697
2011,California,Diabetes,7695
2014,Minnesota,Heart disease,7659
2008,Oklahoma,Cancer,7657
2005,Connecticut,Heart disease,7650
2005,Pennsylvania,Stroke,7650
2006,Texas,CLRD,7639
2009,Oklahoma,Cancer,7639
2010,Oregon,Cancer,7638
2002,New York,Stroke,7625
2015,Colorado,Cancer,7604
2014,Arkansas,Heart disease,7581
2005,Arkansas,Heart disease,7575
2003,Texas,CLRD,7567
2005,California,Influenza and pneumonia,7553
2010,Mississippi,Heart disease,7542
2014,Mississippi,Heart disease,7538
2004,Arkansas,Heart disease,7534
2009,Mississippi,Heart disease,7530
2006,Minnesota,Heart disease,7525
1999,Texas,CLRD,7518
2008,Arkansas,Heart disease,7516
2012,Minnesota,Heart disease,7496
2006,Oklahoma,Cancer,7491
2006,Connecticut,Heart disease,7490
2009,Oregon,Cancer,7487
2008,Oregon,Cancer,7479
2007,Minnesota,Heart disease,7477
2002,Oklahoma,Cancer,7474
2005,Oklahoma,Cancer,7446
2005,Iowa,Heart disease,7437
2006,Arkansas,Heart disease,7431
2000,Illinois,Stroke,7429
2007,California,Diabetes,7413
2001,Oklahoma,Cancer,7411
2000,Texas,Unintentional injuries,7407
2012,Arkansas,Heart disease,7407
2014,Colorado,Cancer,7405
2004,Texas,CLRD,7402
2000,Oklahoma,Cancer,7402
2002,Florida,Unintentional injuries,7396
2007,Oregon,Cancer,7393
2013,Arkansas,Heart disease,7377
2006,California,Diabetes,7376
2008,California,Diabetes,7375
2008,Minnesota,Heart disease,7367
2013,Colorado,Cancer,7357
2008,Connecticut,Heart disease,7355
2016,New York,Unintentional injuries,7354
2006,California,Influenza and pneumonia,7338
2003,Oklahoma,Cancer,7338
2011,Mississippi,Heart disease,7335
2005,Oregon,Cancer,7326
2015,Pennsylvania,Unintentional injuries,7324
2004,California,Influenza and pneumonia,7323
1999,Oklahoma,Cancer,7312
2006,Oregon,Cancer,7309
2012,Colorado,Cancer,7306
2004,Iowa,Heart disease,7299
2009,Arkansas,Heart disease,7295
2007,Connecticut,Heart disease,7289
2000,Texas,CLRD,7286
2008,Iowa,Heart disease,7284
2012,Connecticut,Heart disease,7282
2003,New York,Stroke,7281
2016,Colorado,Heart disease,7277
2010,Arkansas,Heart disease,7274
2004,Oklahoma,Cancer,7269
2012,Mississippi,Heart disease,7269
1999,Oregon,Heart disease,7263
2002,Oregon,Heart disease,7262
2002,Ohio,Stroke,7252
2002,Oregon,Cancer,7249
2011,Minnesota,Heart disease,7240
2009,Minnesota,Heart disease,7238
2004,Oregon,Cancer,7236
1999,Ohio,Stroke,7235
2003,Oregon,Cancer,7232
